slug,title,subtitle,description,dates,dateStart,dateEnd,time,location,municipality,address,category,isFree,price,featured,tags,organizer,phone,email,website,image,lat,lng
apertura-rio-tradiciones-2026,Apertura Río de Tradiciones,Inauguración de exposición de macrofiguras del Carnaval,"Ceremonia simbólica que inicia la temporada del Carnaval 2026, honrando la importancia del río Magdalena en la cultura barranquillera. Inauguración de la exposición de macrofiguras en el Gran Malecón y Malecón de Rebolo.",14 Ene,2026-01-14,,10:00 AM,Gran Malecón del Río,Barranquilla,"Malecón del Río, Barranquilla",carnaval,true,,false,"precarnaval,tradición,río,macrofiguras",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FApertura%20Ri%CC%81o%20de%20Tradiciones.jpg?alt=media&token=b40ac0a5-2a0b-41c3-a712-3b729689e647,10.9878,-74.7889
lectura-del-bando-2026,Lectura del Bando 2026,Inicio oficial del Carnaval de Barranquilla,"Gran espectáculo donde la Reina del Carnaval Michelle Char Fernández da inicio oficial a la temporada carnavalera. Puesta en escena que celebra la herencia afro con presentaciones de Grupo Niche, Iván Villazón y Chelito de Castro.",17 Ene,2026-01-17,,8:00 PM,Estadio Romelio Martínez,Barranquilla,"Cra 46 #74-55, Barranquilla",carnaval,false,Desde $80.000,true,"precarnaval,bando,reina,espectáculo,música",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FLectura%20del%20Bando%202026.jpeg?alt=media&token=6d0eae1f-a6aa-45d4-bd97-faebc518aa16,10.9967,-74.8011
bando-carnaval-ninos-2026,Bando y Coronación del Carnaval de los Niños,Celebración infantil del Carnaval,Los Reyes del Carnaval de los Niños 2026 Joshua Ortiz y su pareja reciben su decreto. Regreso del Semillero de la Tradición con espacio exclusivo para niños y niñas.,18 Ene,2026-01-18,,3:00 PM,Malecón de Rebolo,Barranquilla,"Malecón de Rebolo, Barranquilla",carnaval,true,,false,"precarnaval,niños,coronación,semillero",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2Fbando-carnaval-ninos-2026.jpeg?alt=media&token=32875623-e09b-4b70-8c0e-2aa6e0141a8c,10.9632,-74.7856
coronacion-reinas-populares-2026,Coronación de Reinas Populares,Cuatro días de coronaciones en los barrios,Celebración de las reinas populares que representan la identidad cultural de sus comunidades en todas las localidades de Barranquilla.,28 Ene - 1 Feb,2026-01-28,2026-02-01,Varios horarios,Barrios de Barranquilla,Barranquilla,Diferentes barrios de Barranquilla,carnaval,true,,false,"precarnaval,reinas,barrios,tradición",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2Fcoronacion-reinas-populares-2026.jpg?alt=media&token=24c59bba-59e8-4504-bde9-7e889cc37d21,10.9878,-74.7889
encuentro-comedias-2026,Encuentro de Comedias,Humor tradicional del Carnaval,"Espacio de humor, sátira y tradición popular. Las comedias son una de las expresiones más auténticas del folclor carnavalero barranquillero.",31 Ene,2026-01-31,,5:00 PM,Gran Malecón del Río,Barranquilla,"Gran Malecón, Barranquilla",carnaval,true,,false,"precarnaval,comedias,humor,tradición",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2Fencuentro-comedias-2026.jpg?alt=media&token=191d7620-4da3-414c-b1b2-ae1f99089cfa,10.9878,-74.7889
guacherna-esthercita-forero-2026,La Guacherna Esthercita Forero,El desfile nocturno más emblemático del Carnaval,"Una de las guachernas más emblemáticas de los precarnavales. Desfile nocturno con faroles, música y bailes que recuerdan la versión ancestral de la celebración. Regresa al viernes de Precarnaval por petición popular.",7 Feb,2026-02-07,,5:00 PM,Carrera 44,Barranquilla,Carrera 44 con Calle 70 hasta Casa del Carnaval,carnaval,true,,true,"precarnaval,guacherna,nocturno,faroles,tradición",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FLa%20Guacherna%20Esthercita%20Forero.jpeg?alt=media&token=feee9fb7-46b7-45fd-8acb-14b633b42b84,10.9945,-74.8056
paco-a-paco-2026,Paco a Paco,Recorridos cortos con comparsas y música,"Recorridos cortos con comparsas, música y baile pensado para todos los públicos. Actividades familiares en diferentes escenarios.",7-8 Feb,2026-02-07,2026-02-08,Varios horarios,Centro Comercial Viva / Malecón de Rebolo,Barranquilla,CC Viva y Malecón de Rebolo,carnaval,true,,false,"precarnaval,comparsas,familia,baile",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FPaco%20a%20Paco.jpg?alt=media&token=8f2b27ca-c847-4548-a54a-99177b9a47ad,10.9878,-74.7889
desfile-carnaval-ninos-2026,Desfile del Carnaval de los Niños,Los pequeños carnavaleros toman las calles,"Desfile infantil donde los niños y niñas muestran sus disfraces, comparsas y danzas. El futuro del Carnaval en acción.",8 Feb,2026-02-08,,11:00 AM,Carrera 53,Barranquilla,"Carrera 53, Barranquilla",carnaval,true,,false,"precarnaval,niños,desfile,disfraces",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FDesfile%20del%20Carnaval%20de%20los%20Nin%CC%83os.avif?alt=media&token=baa3d7de-dc3e-4536-8cd0-d4691d915306,10.9878,-74.7889
noche-del-rio-2026,La Noche del Río 2026,Apertura musical del Carnaval - Edición 20,"En su versión número 20, homenaje a los grandes legados musicales del Caribe, resaltando la fuerza, el arte y la resistencia cultural de los pueblos ribereños. Voces ancestrales de las cantadoras del Caribe colombiano.",12 Feb,2026-02-12,,7:00 PM,Plaza de la Paz,Barranquilla,Calle 53 entre carreras 46 y 45,carnaval,false,Palcos desde $200.000,true,"carnaval,música,tambor,tradición,cantadoras",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://carnavaldebarranquilla.org,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FLa%20Noche%20del%20Ri%CC%81o%202026.png?alt=media&token=855c7282-2a79-47d7-a4bb-927fa6bc45d9,10.9922,-74.7978
baila-la-calle-viernes-2026,Baila la Calle - Noche de Orquestas,La pista a cielo abierto más grande del mundo,"Primera noche de Baila la Calle. La calle se transforma en una auténtica verbena caribeña. Dos escenarios llenos de música, sabor y energía.",13 Feb,2026-02-13,,7:00 PM,Vía Carrera 50 con Calle Murillo,Barranquilla,Carrera 50 con Calle Murillo,carnaval,false,Desde $50.000,true,"carnaval,baile,orquestas,verbena",Carnaval de Barranquilla S.A.S.,+57 605 3197616,comunicaciones@carnavaldebarranquilla.org,https://tuboleta.com,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/events%2FBaila%20la%20Calle%20-%20Noche%20de%20Orquestas.avif?alt=media&token=e8054dea-7d54-4928-81dd-aa3552e7f621,10.9878,-74.7889
